,geometry
0,"POLYGON ((171.125 45.875, 171.125 46.125, 170.875 46.125, 170.875 45.875, 171.125 45.875))"
1,"POLYGON ((171.375 45.875, 171.375 46.125, 171.125 46.125, 171.125 45.875, 171.375 45.875))"
2,"POLYGON ((171.625 45.875, 171.625 46.125, 171.375 46.125, 171.375 45.875, 171.625 45.875))"
3,"POLYGON ((171.875 45.875, 171.875 46.125, 171.625 46.125, 171.625 45.875, 171.875 45.875))"
4,"POLYGON ((172.125 45.875, 172.125 46.125, 171.875 46.125, 171.875 45.875, 172.125 45.875))"
5,"POLYGON ((172.375 45.875, 172.375 46.125, 172.125 46.125, 172.125 45.875, 172.375 45.875))"
6,"POLYGON ((172.625 45.875, 172.625 46.125, 172.375 46.125, 172.375 45.875, 172.625 45.875))"
7,"POLYGON ((172.875 45.875, 172.875 46.125, 172.625 46.125, 172.625 45.875, 172.875 45.875))"
8,"POLYGON ((173.125 45.875, 173.125 46.125, 172.875 46.125, 172.875 45.875, 173.125 45.875))"
9,"POLYGON ((173.375 45.875, 173.375 46.125, 173.125 46.125, 173.125 45.875, 173.375 45.875))"
10,"POLYGON ((173.625 45.875, 173.625 46.125, 173.375 46.125, 173.375 45.875, 173.625 45.875))"
11,"POLYGON ((173.875 45.875, 173.875 46.125, 173.625 46.125, 173.625 45.875, 173.875 45.875))"
12,"POLYGON ((174.125 45.875, 174.125 46.125, 173.875 46.125, 173.875 45.875, 174.125 45.875))"
13,"POLYGON ((174.375 45.875, 174.375 46.125, 174.125 46.125, 174.125 45.875, 174.375 45.875))"
14,"POLYGON ((174.625 45.875, 174.625 46.125, 174.375 46.125, 174.375 45.875, 174.625 45.875))"
15,"POLYGON ((174.875 45.875, 174.875 46.125, 174.625 46.125, 174.625 45.875, 174.875 45.875))"
16,"POLYGON ((175.125 45.875, 175.125 46.125, 174.875 46.125, 174.875 45.875, 175.125 45.875))"
17,"POLYGON ((175.375 45.875, 175.375 46.125, 175.125 46.125, 175.125 45.875, 175.375 45.875))"
18,"POLYGON ((175.625 45.875, 175.625 46.125, 175.375 46.125, 175.375 45.875, 175.625 45.875))"
19,"POLYGON ((175.875 45.875, 175.875 46.125, 175.625 46.125, 175.625 45.875, 175.875 45.875))"
20,"POLYGON ((176.125 45.875, 176.125 46.125, 175.875 46.125, 175.875 45.875, 176.125 45.875))"
21,"POLYGON ((176.375 45.875, 176.375 46.125, 176.125 46.125, 176.125 45.875, 176.375 45.875))"
22,"POLYGON ((176.625 45.875, 176.625 46.125, 176.375 46.125, 176.375 45.875, 176.625 45.875))"
23,"POLYGON ((176.875 45.875, 176.875 46.125, 176.625 46.125, 176.625 45.875, 176.875 45.875))"
24,"POLYGON ((177.125 45.875, 177.125 46.125, 176.875 46.125, 176.875 45.875, 177.125 45.875))"
25,"POLYGON ((177.375 45.875, 177.375 46.125, 177.125 46.125, 177.125 45.875, 177.375 45.875))"
26,"POLYGON ((177.625 45.875, 177.625 46.125, 177.375 46.125, 177.375 45.875, 177.625 45.875))"
27,"POLYGON ((177.875 45.875, 177.875 46.125, 177.625 46.125, 177.625 45.875, 177.875 45.875))"
28,"POLYGON ((178.125 45.875, 178.125 46.125, 177.875 46.125, 177.875 45.875, 178.125 45.875))"
29,"POLYGON ((178.375 45.875, 178.375 46.125, 178.125 46.125, 178.125 45.875, 178.375 45.875))"
30,"POLYGON ((178.625 45.875, 178.625 46.125, 178.375 46.125, 178.375 45.875, 178.625 45.875))"
31,"POLYGON ((178.875 45.875, 178.875 46.125, 178.625 46.125, 178.625 45.875, 178.875 45.875))"
32,"POLYGON ((179.125 45.875, 179.125 46.125, 178.875 46.125, 178.875 45.875, 179.125 45.875))"
33,"POLYGON ((179.375 45.875, 179.375 46.125, 179.125 46.125, 179.125 45.875, 179.375 45.875))"
34,"POLYGON ((179.625 45.875, 179.625 46.125, 179.375 46.125, 179.375 45.875, 179.625 45.875))"
35,"POLYGON ((179.875 45.875, 179.875 46.125, 179.625 46.125, 179.625 45.875, 179.875 45.875))"
36,"POLYGON ((180.125 45.875, 180.125 46.125, 179.875 46.125, 179.875 45.875, 180.125 45.875))"
37,"POLYGON ((180.375 45.875, 180.375 46.125, 180.125 46.125, 180.125 45.875, 180.375 45.875))"
38,"POLYGON ((180.625 45.875, 180.625 46.125, 180.375 46.125, 180.375 45.875, 180.625 45.875))"
39,"POLYGON ((180.875 45.875, 180.875 46.125, 180.625 46.125, 180.625 45.875, 180.875 45.875))"
40,"POLYGON ((181.125 45.875, 181.125 46.125, 180.875 46.125, 180.875 45.875, 181.125 45.875))"
41,"POLYGON ((181.375 45.875, 181.375 46.125, 181.125 46.125, 181.125 45.875, 181.375 45.875))"
42,"POLYGON ((181.625 45.875, 181.625 46.125, 181.375 46.125, 181.375 45.875, 181.625 45.875))"
43,"POLYGON ((181.875 45.875, 181.875 46.125, 181.625 46.125, 181.625 45.875, 181.875 45.875))"
44,"POLYGON ((182.125 45.875, 182.125 46.125, 181.875 46.125, 181.875 45.875, 182.125 45.875))"
